Page - https://www.bibvip.com/en_US/,Links,Status,Response Code
https://www.bibvip.com/en_US/,https://www.bibvip.com/spot,The link is OK.,200
https://www.bibvip.com/en_US/,javascript:void(0);,Not a valid link,0
https://www.bibvip.com/en_US/,https://www.bibvip.com/en_US/futures,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/en_US/futures/copyTraders,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/en_US/futures/mock,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/en_US/options/flash,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/en_US/options/volatility,The link is OK.,200
https://www.bibvip.com/en_US/,javascript:void(0);,Not a valid link,0
https://www.bibvip.com/en_US/,https://www.bibvip.com/en_US/investment/term,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/en_US/investment/detail?id=1667153880330596352,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/en_US/investment/fund,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/en_US/investment/easyEarn,The link is OK.,200
https://www.bibvip.com/en_US/,javascript:void(0);,Not a valid link,0
https://www.bibvip.com/en_US/,https://www.bibvip.com/en_US/activities/fiesta,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/en_US/activities/mysterybox,The link is OK.,200
https://www.bibvip.com/en_US/,javascript:void(0);,Not a valid link,0
https://www.bibvip.com/en_US/,https://academy.bibvip.com/,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/en_US/personal/recommendInvite,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/login,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/register,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/spot,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/appDownload,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/personal/userManagement,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/appDownload,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/en_US/register,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/en_US/spot,The link is OK.,200
https://www.bibvip.com/en_US/,https://www.bibvip.com/noticeInfo,The link is OK.,200
